Symbol,Name,Price,Market Cap,Sector,Industry,Rev Growth,Gross Margin,ROIC,EPS TTM,Forward EPS,P/B,5Y Avg P/E,20M MA,Monthly Closes,Quarterly EPS,EPS YoY Growth,Revenue YoY Growth,Previous EPS TTM,Consecutive Growth
4540.TW,全球傳動科技股份有限公司,68.6,7901808640.0,05,Unknown,0.671,0.0962861373875194,-0.030709131202877972,,,,,,[],"[null, null, null, null]",,0.671,,0
4545.TW,銘鈺精密工業股份有限公司,38.5,2964499968.0,28,Unknown,-0.113,0.15683444231736296,0.01408916367052329,,,,,,[],"[null, null, null, null]",,-0.113,,0
4551.TW,智伸科技股份有限公司,155.5,17917020160.0,12,Unknown,0.131,0.2314002775697347,0.06348854551521127,,,,,,[],"[null, null, null, null]",,0.131,,0
4552.TW,力達控股有限公司,19.95,2314200064.0,05,Unknown,-0.05600000000000001,0.1943606340594186,1.4758387271662452,,,,,,[],"[null, null, null, null]",,-0.05600000000000001,,0
4555.TW,台灣氣立股份有限公司,58.1,4037194496.0,05,Unknown,0.037,0.3006858246218583,0.00658507929777473,,,,,,[],"[null, null, null, null]",,0.037,,0
4557.TW,永新控股股份有限公司,43.6,2091572096.0,12,Unknown,-0.193,0.29571609320917264,0.21327878498512395,,,,,,[],"[null, null, null, null]",,-0.193,,0
4560.TW,強信機械科技股份有限公司,32.0,2179111680.0,05,Unknown,0.031,0.3570447193337636,0.1753729826279205,,,,,,[],"[null, null, null, null]",,0.031,,0
4562.TW,穎漢科技股份有限公司,41.45,0.0,05,Unknown,-0.083,0.36426715949364263,-0.14690807041998816,,,,,,[],"[null, null, null, null]",,-0.083,,0
4564.TW,元翎精密工業股份有限公司,15.5,3608218624.0,05,Unknown,-0.284,-0.2029834412567513,-0.07902189859790922,,,,,,[],"[null, null, null, null]",,-0.284,,0
4566.TW,時碩工業股份有限公司,70.2,7714162176.0,05,Unknown,0.08200000000000002,0.2214610839859744,0.02209424375402359,,,,,,[],"[null, null, null, null]",,0.08200000000000002,,0
4569.TW,六方科技股份有限公司,180.5,5486477824.0,12,Unknown,0.066,0.20832338419589147,0.028855357970265717,,,,,,[],"[null, null, null, null]",,0.066,,0
4571.TW,鈞興機電國際股份有限公司,222.0,11526185984.0,05,Unknown,-0.11899999999999998,0.32770834957880324,0.04980959734630007,,,,,,[],"[null, null, null, null]",,-0.11899999999999998,,0
4572.TW,駐龍精密機械股份有限公司,149.0,5960000000.0,05,Unknown,0.064,0.345415247479001,0.02240041598151078,,,,,,[],"[null, null, null, null]",,0.064,,0
4576.TW,大銀微系統股份有限公司,266.5,31927191552.0,05,Unknown,0.455,0.3650773826825923,0.010000257361668978,,,,,,[],"[null, null, null, null]",,0.455,,0
4581.TW,World Known MFG(Cayman)Limited,49.5,1678000512.0,12,Unknown,-0.013000000000000001,0.3316403966957362,0.1243458662892171,,,,,,[],"[null, null, null, null]",,-0.013000000000000001,,0
4582.TW,聚恆科技股份有限公司,25.1,1894547968.0,35,Unknown,1.16,0.18939996757901872,0.02086863814952482,,,,,,[],"[null, null, null, null]",,1.16,,0
4583.TW,台灣精銳科技股份有限公司,719.0,57643200512.0,05,Unknown,0.057,0.5279912477143115,0.017348950871736702,,,,,,[],"[null, null, null, null]",,0.057,,0
4585.TW,達明機器人股份有限公司,350.5,36665454592.0,31,Unknown,-0.024,0.5098515719542615,0.00305031794110746,,,,,,[],"[null, null, null, null]",,-0.024,,0
4588.TW,玖鼎電力資訊股份有限公司,56.4,2424354048.0,31,Unknown,-0.081,0.33219165801898326,0.061855725088616115,,,,,,[],"[null, null, null, null]",,-0.081,,0
4590.TW,富田電機股份有限公司,72.0,3948364800.0,05,Unknown,-0.258,0.2979277834924949,0.021688587381423742,,,,,,[],"[null, null, null, null]",,-0.258,,0
4720.TW,德淵企業股份有限公司,25.25,2891528960.0,21,Unknown,0.028000000000000004,0.23030374696378242,0.03729088437603255,,,,,,[],"[null, null, null, null]",,0.028000000000000004,,0
4722.TW,國精化學股份有限公司,285.0,29281755136.0,21,Unknown,-0.03,0.16821701100978761,0.007034406912926192,,,,,,[],"[null, null, null, null]",,-0.03,,0
4736.TW,泰博科技股份有限公司,122.5,11519958016.0,22,Unknown,0.1,0.4595939281654505,0.08782044513876602,,,,,,[],"[null, null, null, null]",,0.1,,0
4737.TW,華廣生技股份有限公司,57.1,4412987904.0,22,Unknown,-0.158,0.34146312278770447,-0.028830564160605684,,,,,,[],"[null, null, null, null]",,-0.158,,0
4739.TW,康普材料科技股份有限公司,108.0,13462121472.0,21,Unknown,1.25,0.1370768952702981,0.02980466579096524,,,,,,[],"[null, null, null, null]",,1.25,,0
4746.TW,台耀化學股份有限公司,52.2,6277363200.0,22,Unknown,-0.07,0.41887290504491836,0.0907962699616534,,,,,,[],"[null, null, null, null]",,-0.07,,0
4755.TW,三福化工股份有限公司,149.0,15005194240.0,21,Unknown,-0.02,0.21726649438342574,0.030717476866086228,,,,,,[],"[null, null, null, null]",,-0.02,,0
4763.TW,濟南大自然新材料股份有限公司,40.9,40456101888.0,21,Unknown,-0.389,0.5860078924364931,0.21738469747649453,,,,,,[],"[null, null, null, null]",,-0.389,,0
4764.TW,雙鍵化工股份有限公司,305.5,26133080064.0,21,Unknown,0.247,0.19819780938506149,0.006150287078726679,,,,,,[],"[null, null, null, null]",,0.247,,0
4766.TW,南寶樹脂化學工廠股份有限公司,359.0,43284631552.0,21,Unknown,0.051,0.34120392053517234,0.09138293402379193,,,,,,[],"[null, null, null, null]",,0.051,,0
4770.TW,上品綜合工業股份有限公司,255.0,20393879552.0,21,Unknown,-0.35,0.3297630901745244,0.057763901132520064,,,,,,[],"[null, null, null, null]",,-0.35,,0
4771.TW,望隼科技股份有限公司,197.5,11595027456.0,22,Unknown,0.272,0.40889310847320187,0.08239009517295122,,,,,,[],"[null, null, null, null]",,0.272,,0
4807.TW,日成控股股份有限公司,27.9,1366988416.0,18,Unknown,0.17,0.14531564390454324,0.015026015781494352,,,,,,[],"[null, null, null, null]",,0.17,,0
4904.TW,遠傳電信股份有限公司,94.6,341288910848.0,27,Unknown,0.04,0.3027820372807635,0.04528007333488359,,,,,,[],"[null, null, null, null]",,0.04,,0
4906.TW,正文科技股份有限公司,49.7,21251428352.0,27,Unknown,-0.396,0.13809816421453683,0.0031830788926528286,,,,,,[],"[null, null, null, null]",,-0.396,,0
4912.TW,聯德控股股份有限公司,115.0,7704206336.0,28,Unknown,0.139,0.2150325900634846,0.045723075083505156,,,,,,[],"[null, null, null, null]",,0.139,,0
4915.TW,致伸科技股份有限公司,73.9,34872004608.0,28,Unknown,0.078,0.17423051396610126,0.09375743865723293,,,,,,[],"[null, null, null, null]",,0.078,,0
4916.TW,事欣科技股份有限公司,112.5,13917825024.0,25,Unknown,0.234,0.20013758401362522,0.02146750379880408,,,,,,[],"[null, null, null, null]",,0.234,,0
4919.TW,新唐科技股份有限公司,191.5,80384999424.0,24,Unknown,-0.045,0.3726178880517541,-0.011563547884198786,,,,,,[],"[null, null, null, null]",,-0.045,,0
4927.TW,泰鼎國際股份有限公司,56.2,14889515008.0,28,Unknown,-0.12,-0.012835809220838873,-0.06778992473760835,,,,,,[],"[null, null, null, null]",,-0.12,,0
4930.TW,燦星網通股份有限公司,17.6,1408000000.0,06,Unknown,-0.19699999999999998,0.14476405837061518,0.02889002048445149,,,,,,[],"[null, null, null, null]",,-0.19699999999999998,,0
4934.TW,太極能源科技股份有限公司,17.25,3881250048.0,26,Unknown,1.332,-1.4673651454604475,-0.11708315730506547,,,,,,[],"[null, null, null, null]",,1.332,,0
4935.TW,茂林光電科技(開曼)股份有限公司,40.9,5270537728.0,26,Unknown,-0.369,0.1487713290360826,0.05100497045434899,,,,,,[],"[null, null, null, null]",,-0.369,,0
4938.TW,和碩聯合科技股份有限公司,88.5,237360906240.0,25,Unknown,-0.10400000000000001,0.038044009367711365,0.060124867329923545,,,,,,[],"[null, null, null, null]",,-0.10400000000000001,,0
4942.TW,嘉彰股份有限公司,37.85,5388628480.0,26,Unknown,-0.052000000000000005,0.2343890236444751,0.1271941880511619,,,,,,[],"[null, null, null, null]",,-0.052000000000000005,,0
4943.TW,開曼康而富控股股份有限公司,9.2,1165587968.0,28,Unknown,0.431,-0.030113785275772367,-0.19341355847095806,,,,,,[],"[null, null, null, null]",,0.431,,0
4949.TW,有成精密股份有限公司,94.6,6404703744.0,26,Unknown,0.36700000000000005,0.3621835972404265,0.036152101860155585,,,,,,[],"[null, null, null, null]",,0.36700000000000005,,0
4952.TW,凌通科技股份有限公司,52.8,5745484800.0,24,Unknown,0.115,0.3361211161574079,0.016493167303771848,,,,,,[],"[null, null, null, null]",,0.115,,0
4956.TW,光鋐科技股份有限公司,45.4,4558523392.0,26,Unknown,-0.024,0.050526936901742966,-0.01895701542717067,,,,,,[],"[null, null, null, null]",,-0.024,,0
4958.TW,臻鼎科技控股股份有限公司,515.0,555901714432.0,28,Unknown,0.016,0.19798423879866944,0.025913859081953993,,,,,,[],"[null, null, null, null]",,0.016,,0
4960.TW,誠美材料科技股份有限公司,31.95,18074830848.0,26,Unknown,-0.139,-0.04499877938585175,-0.06877293639783252,,,,,,[],"[null, null, null, null]",,-0.139,,0
4961.TW,天鈺科技股份有限公司,172.5,20657391616.0,24,Unknown,-0.034,0.27939127111956275,0.08532929785458876,,,,,,[],"[null, null, null, null]",,-0.034,,0
4967.TW,十銓科技股份有限公司,276.0,23449868288.0,24,Unknown,0.691,0.14266467317220216,0.055019855464153215,,,,,,[],"[null, null, null, null]",,0.691,,0
4968.TW,立積電子股份有限公司,116.0,10696359936.0,24,Unknown,0.06,0.35355614081650716,0.015843931993289775,,,,,,[],"[null, null, null, null]",,0.06,,0
